tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
A,31559,0.4013842514023387,0.0008967828096023774,2.3919749483391917e-08,4.110421385473639e-10,1.6576302256151582e-12,3.978752377083858e-23,-1.5898836487297382e-16,1.7004127487905606e-23
A,26267,0.16889080094359835,0.001330460745708393,1.2008679107977917e-07,1.0670277721021012e-09,5.0283462025311794e-12,-5.748762178966027e-23,5.749911045415871e-16,3.638062582258151e-22
F,23993,0.18991240246303834,0.0016205325827792353,3.30261932782818e-07,1.120062579913122e-09,6.022123244524129e-11,5.532166445306737e-21,-2.735764268242544e-14,-1.4629241559680377e-20
F,28574,0.6349583273234123,0.0013771579371881898,2.536942772247821e-07,8.502528694544231e-10,1.1938236368319905e-10,1.4315659844164696e-20,-1.9061264418466744e-14,-3.52381760976072e-20
A,26934,0.22927577173340782,0.0013250001104295008,1.5014985891961758e-07,1.009341496209981e-09,3.8094382323400475e-12,2.3212833077880013e-23,3.3841403350585206e-16,2.350733086481105e-22
G,33845,0.23371171542547023,0.0012691702425978036,5.0366442346550955e-09,3.139371293469532e-11,1.5462014856522317e-12,4.8355139839197895e-24,-1.0898294558801983e-16,-9.626353479474549e-24
G,28626,0.19826010850180179,0.0016226982812485445,1.4215257864747312e-08,1.589061169930728e-10,1.9054545574295784e-11,4.244173481183014e-22,-2.243914421124428e-15,-9.58760128329243e-22
G,20601,0.11044543873657169,0.002010654823031988,4.41786511759177e-08,1.027303715588357e-10,1.0395112637650346e-10,-6.851797406507089e-21,-8.27795218552937e-15,-8.27331435547756e-21
G,19417,0.134280271365322,0.0026457517325622357,2.622958555574093e-08,8.932321341332083e-10,5.30438604347272e-10,-2.1314132295556485e-19,-8.05137889130799e-14,-2.964505344668376e-19
G,20689,0.08528268890190405,0.001953045403535128,2.1453117212476012e-08,3.529003799535958e-10,6.907321562987759e-11,3.2491292345429265e-21,-6.536308593769271e-16,1.0283167969894522e-20
G,26911,0.16607021733866173,0.001709677817485948,1.500570935361656e-08,7.654797740901112e-11,7.663469229103329e-12,6.24842541179983e-23,1.290167845329203e-16,1.747780415523301e-22
F,31963,0.6601888625028964,0.001124198962696804,1.850000102895278e-07,4.009843289537442e-10,4.828707441482879e-11,2.4769683383667418e-21,-7.561046053674436e-15,-6.245855533585713e-21
A,41213,0.5262847051915166,0.0007480871155638861,5.8581049712771316e-09,1.1199607858725205e-10,2.336773627768762e-12,-3.563414088865288e-23,1.7872626598044014e-16,1.2620440157936095e-23
A,17099,0.1301290685006147,0.001739956627304841,7.150782453834621e-08,3.900859242298754e-09,1.1776620919383235e-10,3.3434061200831746e-22,1.061450203312333e-14,7.981920049842246e-20
F,24338,0.23166194239534246,0.0016012017628150269,4.057486835515925e-07,1.652588943831659e-09,7.510649029822338e-11,1.0130192822889072e-20,-3.146392613592362e-14,-2.444461319656184e-20
A,49164,0.48383823704624823,0.0007230734313641298,2.6957333237852795e-09,1.1135722630859723e-11,7.904340037535052e-13,-2.2937735724928957e-24,7.922034458042337e-18,4.878545316622709e-25
